restaurant_id,restaurant_name,restaurant_rating,restaurant_contact_no,opening_hrs,closing_hrs,budget_for_2,restaurant_address,city,state,zipcode,no_of_tables
1001,Five Guys,4.3,(617) 936-3657,11:00:00,22:00:00,41,"263 Huntington Ave, Boston, ",Boston,MA, 02115,20
1002,Subway,3.7,(617) 373-4613,Closed,Closed,45,"Ryder hall, Leon St, Boston, ",Boston,MA, 02115,13
1003,Mcdonalds,3.6,(617) 778-5228,06:00:00,00:00:00,38,"540 Commonwealth Ave, Boston, ",Boston,MA, 02215,10
1004,Starbucks,3.7,(617) 373-2530,07:00:00,21:00:00,26,"360 Huntington Ave, Boston, ",Boston,MA, 02115,15
1005,Wendys,3.9,(617) 236-1550,08:00:00,23:30:00,24,"157-A Massachusetts Ave, Boston, ",Boston,MA, 02127,25
1006,Popeyes,3.9,(617) 373-4950,00:00:00,19:00:00,24,"Northeastern University, 360 Huntington Ave, Boston, ",Boston,MA, 02115,15
1007,Shake shack,4.3,(617) 933-5050,11:00:00,22:00:00,43,"234-236 Newbury St, Boston, ",Boston,MA, 02116,18
1008,Dominos,2.6,(617) 541-3525,10:00:00,03:00:00,42,"1400 Tremont St Roxbury Crossing Station - Space D, Crossing, ",Boston,MA, 02120,12
1009,KFC,3.6,(617) 282-2068,10:00:00,23:00:00,22,"695 Columbia Rd, Dorchester, ",Boston,MA, 02125,11
1010,Qdoba,4.1,(617) 450-0910,10:30:00,23:00:00,33,"393 Huntington Ave Ste 101, Boston, ",Boston,MA, 02115,9
1011,Dunkin Donuts,4.2,(617) 373-8414,08:00:00,14:00:00,17,"Northeastern - Shillman Hall, 115 Forsyth St, Boston, ",Boston,MA, 02115,15
1012,Blaze Pizza,4.5,(617) 297-9585,11:00:00,22:00:00,11,"1282 Boylston St, Boston, ",Boston,MA, 02215,12
1013,Panera Bread,3.9,(617) 425-8565,06:00:00,22:00:00,49,"289 Huntington Ave, Boston, ",Boston,MA, 02115,10
1014,Cheddars,4.6,(617) 375-6333,10:00:00,20:00:00,41,"1638 Washington St, Boston, ",Boston,MA, 02118,20
1015,Burger King,3.8,(617) 556-8299,07:00:00,22:00:00,37,"128 Tremont St, Boston, ",Boston,MA, 02108,25
